url,category_code,category_description
http://1-search-engine-marketing.net/socks-proxies-search.html,ANON,Anonymizers and circumvention
http://123url.org,COMM,E-commerce
http://88bola.com,GMB,Gambling
http://9nagatangkas.com,GAME,Gaming
http://allgeeks.info,GRP,Groups and social networking
http://anonymat.org,FEXP,Free expression and media freedom
http://anonymip.net,SRCH,Search engines
http://anonymise.com,FEXP,Free expression and media freedom
http://anonymizer.egroups.com,GRP,Groups and social networking
http://anonymousmyspace.info,MISC,Miscellaneous
http://anonymousproxylist.net,COMM,E-commerce
http://anonysurf.info,COMM,E-commerce
http://answering-islam.org,MINF,Minority faiths
http://aplusproxy.blogspot.com/2007/11/view-blocked-sites-with-random-ip-proxy.html,ANON,Anonymizers and circumvention
http://arrahmah.com,FEXP,Free expression and media freedom
http://beritamuslim.wordpress.com,REL,"Religious conversion, commentary and criticism"
http://beritapanasselebritis.blogspot.com,PROV,Provocative attire
http://blahbleh.com/science/,MISC,Miscellaneous
http://blogfars.com/blog.html?member=bia2&newscat=7938,FEXP,Free expression and media freedom
http://blogg.loopia.se,BLGSERV,Blogging domains and blogging services
http://bolanaga.com,GMB,Gambling
http://bolauntung.com,GMB,Gambling
http://bolazoom.com,GMB,Gambling
http://bravo-pass.com,GRP,Groups and social networking
http://ceritacerita.com,HOST,Web hosting sites and portals
http://ceriwis.us,GRP,Groups and social networking
http://ceriwis.us/forumdisplay.php?f=127,GRP,Groups and social networking
http://charter.com,COMM,E-commerce
http://crito.jw.lt,FEXP,Free expression and media freedom
http://danteam.com,BLGSERV,Blogging domains and blogging services
http://denypagetests.netsweeper.com,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/160,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/170,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/21,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/23,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/26,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/27,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/32,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/7,FEXP,Free expression and media freedom
http://dewajudi.net,MISC,Miscellaneous
http://digg.com/news/entertainment/lalat_x_artis_bugil_indonesia_com,FEXP,Free expression and media freedom
http://dostscholars.com/proxy/,FEXP,Free expression and media freedom
http://dowranline.blogfa.com/post-75.aspx,ANON,Anonymizers and circumvention
